CVE,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,sin_primaria,analfabeta,con_hacinamiento
30001,30,Veracruz de Ignacio de la Llave,001,Acajete,38.92,16.52,52.46
30002,30,Veracruz de Ignacio de la Llave,002,Acatlán,35.51,10.72,50.14
30003,30,Veracruz de Ignacio de la Llave,003,Acayucan,30.75,13.73,42.61
30004,30,Veracruz de Ignacio de la Llave,004,Actopan,40.8,14.92,28.5
30005,30,Veracruz de Ignacio de la Llave,005,Acula,42.72,19.83,35.44
30006,30,Veracruz de Ignacio de la Llave,006,Acultzingo,36.52,14.39,58.95
30007,30,Veracruz de Ignacio de la Llave,007,Camarón de Tejeda,47.15,11.64,40.51
30008,30,Veracruz de Ignacio de la Llave,008,Alpatláhuac,50.74,25.86,54.66
30009,30,Veracruz de Ignacio de la Llave,009,Alto Lucero de Gutiérrez Barrios,45.32,18.61,33.33
30010,30,Veracruz de Ignacio de la Llave,010,Altotonga,43.88,18.18,59.57
30011,30,Veracruz de Ignacio de la Llave,011,Alvarado,28.82,10.75,32.16
30012,30,Veracruz de Ignacio de la Llave,012,Amatitlán,41.2,16.5,29.45
30013,30,Veracruz de Ignacio de la Llave,013,Naranjos Amatlán,21.3,6.16,33.17
30014,30,Veracruz de Ignacio de la Llave,014,Amatlán de los Reyes,30.75,9.38,41.33
30015,30,Veracruz de Ignacio de la Llave,015,Angel R. Cabada,43.4,19.76,33.84
30016,30,Veracruz de Ignacio de la Llave,016,La Antigua,24.42,5.77,33.59
30017,30,Veracruz de Ignacio de la Llave,017,Apazapan,34.82,9.48,30.06
30018,30,Veracruz de Ignacio de la Llave,018,Aquila,55.17,29.53,61.96
30019,30,Veracruz de Ignacio de la Llave,019,Astacinga,58.65,39.06,59.56
30020,30,Veracruz de Ignacio de la Llave,020,Atlahuilco,58.91,39.12,64.89
30021,30,Veracruz de Ignacio de la Llave,021,Atoyac,28.85,8.58,40.51
30022,30,Veracruz de Ignacio de la Llave,022,Atzacan,38.51,19.5,61.19
30023,30,Veracruz de Ignacio de la Llave,023,Atzalan,48.18,20.5,55.29
30024,30,Veracruz de Ignacio de la Llave,024,Tlaltetela,50.44,19.58,53.1
30025,30,Veracruz de Ignacio de la Llave,025,Ayahualulco,61.82,35.56,67.93
30026,30,Veracruz de Ignacio de la Llave,026,Banderilla,18.9,6.34,38.68
30027,30,Veracruz de Ignacio de la Llave,027,Benito Juárez,43.33,25.12,42.23
30028,30,Veracruz de Ignacio de la Llave,028,Boca del Río,13.39,3.3,26.81
30029,30,Veracruz de Ignacio de la Llave,029,Calcahualco,56.61,30.83,66.83
30030,30,Veracruz de Ignacio de la Llave,030,Camerino Z. Mendoza,21.51,10.56,40.1
30031,30,Veracruz de Ignacio de la Llave,031,Carrillo Puerto,48.65,20.05,46.65
30032,30,Veracruz de Ignacio de la Llave,032,Catemaco,37.11,17.06,39.89
30033,30,Veracruz de Ignacio de la Llave,033,Cazones de Herrera,36.6,15.09,44.13
30034,30,Veracruz de Ignacio de la Llave,034,Cerro Azul,18.82,6.06,33.27
30035,30,Veracruz de Ignacio de la Llave,035,Citlaltépetl,39.85,19.58,40.91
30036,30,Veracruz de Ignacio de la Llave,036,Coacoatzintla,40.08,19.05,56.87
30037,30,Veracruz de Ignacio de la Llave,037,Coahuitlán,54.22,30.23,66.43
30038,30,Veracruz de Ignacio de la Llave,038,Coatepec,22.94,7.48,35.86
30039,30,Veracruz de Ignacio de la Llave,039,Coatzacoalcos,15.72,4.77,34.23
30040,30,Veracruz de Ignacio de la Llave,040,Coatzintla,19.35,6.96,37.68
30041,30,Veracruz de Ignacio de la Llave,041,Coetzala,45.26,19.48,54.87
30042,30,Veracruz de Ignacio de la Llave,042,Colipa,44.06,18.91,40.97
30043,30,Veracruz de Ignacio de la Llave,043,Comapa,51.06,19.9,49.14
30044,30,Veracruz de Ignacio de la Llave,044,Córdoba,18.24,5.33,36.42
30045,30,Veracruz de Ignacio de la Llave,045,Cosamaloapan de Carpio,28.15,10.85,31.24
30046,30,Veracruz de Ignacio de la Llave,046,Cosautlán de Carvajal,49.68,17.41,53.81
30047,30,Veracruz de Ignacio de la Llave,047,Coscomatepec,50.85,26.2,61.42
30048,30,Veracruz de Ignacio de la Llave,048,Cosoleacaque,20.26,7.49,41.11
30049,30,Veracruz de Ignacio de la Llave,049,Cotaxtla,41.23,15.88,41.63
30050,30,Veracruz de Ignacio de la Llave,050,Coxquihui,44.39,28.17,55.83
30051,30,Veracruz de Ignacio de la Llave,051,Coyutla,45.87,29.78,53.26
30052,30,Veracruz de Ignacio de la Llave,052,Cuichapa,32.69,11.82,43.34
30053,30,Veracruz de Ignacio de la Llave,053,Cuitláhuac,30.95,10.42,37.06
30054,30,Veracruz de Ignacio de la Llave,054,Chacaltianguis,39.36,13.84,29.15
30055,30,Veracruz de Ignacio de la Llave,055,Chalma,39.58,22.54,37.8
30056,30,Veracruz de Ignacio de la Llave,056,Chiconamel,48.8,32.46,45.89
30057,30,Veracruz de Ignacio de la Llave,057,Chiconquiaco,53.02,24.22,60.32
30058,30,Veracruz de Ignacio de la Llave,058,Chicontepec,36,16.58,37.04
30059,30,Veracruz de Ignacio de la Llave,059,Chinameca,31.89,12.1,40.87
30060,30,Veracruz de Ignacio de la Llave,060,Chinampa de Gorostiza,34.67,15.23,49.91
30061,30,Veracruz de Ignacio de la Llave,061,Las Choapas,40.48,14.96,48.87
30062,30,Veracruz de Ignacio de la Llave,062,Chocamán,44.71,18.07,54.68
30063,30,Veracruz de Ignacio de la Llave,063,Chontla,40.95,17.97,39.35
30064,30,Veracruz de Ignacio de la Llave,064,Chumatlán,44.65,32.11,58.9
30065,30,Veracruz de Ignacio de la Llave,065,Emiliano Zapata,24.88,5.85,33.11
30066,30,Veracruz de Ignacio de la Llave,066,Espinal,39.06,20.32,43.62
30067,30,Veracruz de Ignacio de la Llave,067,Filomeno Mata,61.69,39.8,82.18
30068,30,Veracruz de Ignacio de la Llave,068,Fortín,18.89,5.44,34.13
30069,30,Veracruz de Ignacio de la Llave,069,Gutiérrez Zamora,27.6,8.99,38.29
30070,30,Veracruz de Ignacio de la Llave,070,Hidalgotitlán,39.51,13.33,48.89
30071,30,Veracruz de Ignacio de la Llave,071,Huatusco,34.57,12.44,48.6
30072,30,Veracruz de Ignacio de la Llave,072,Huayacocotla,41.1,19.72,48.09
30073,30,Veracruz de Ignacio de la Llave,073,Hueyapan de Ocampo,42.59,22.17,38.13
