CVE,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,sin_primaria,analfabeta,con_hacinamiento
31001,31,Yucatán,001,Abalá,45.05,17.39,57.1
31002,31,Yucatán,002,Acanceh,28.89,11.26,53.05
31003,31,Yucatán,003,Akil,41.73,15.15,58.79
31004,31,Yucatán,004,Baca,30.71,9.86,45.57
31005,31,Yucatán,005,Bokobá,37.03,14.41,46.7
31006,31,Yucatán,006,Buctzotz,42.77,15.96,49.13
31007,31,Yucatán,007,Cacalchén,34.63,13.15,46.61
31008,31,Yucatán,008,Calotmul,43.73,15.69,53.51
31009,31,Yucatán,009,Cansahcab,34.88,13.29,44.06
31010,31,Yucatán,010,Cantamayec,48.71,26.69,65.09
31011,31,Yucatán,011,Celestún,41.6,9.66,54.92
31012,31,Yucatán,012,Cenotillo,43.49,15.7,40.98
31013,31,Yucatán,013,Conkal,24.6,7.76,44.08
31014,31,Yucatán,014,Cuncunul,40.8,21.81,61.52
31015,31,Yucatán,015,Cuzamá,37.66,13.32,53.68
31016,31,Yucatán,016,Chacsinkín,43.16,22.51,63.75
31017,31,Yucatán,017,Chankom,42.67,20.56,64.23
31018,31,Yucatán,018,Chapab,39.28,15.77,54.95
31019,31,Yucatán,019,Chemax,51.77,28.1,71.93
31020,31,Yucatán,020,Chicxulub Pueblo,26.99,9.9,50.66
31021,31,Yucatán,021,Chichimilá,40.8,22.2,69.31
31022,31,Yucatán,022,Chikindzonot,41.28,21.55,70.92
31023,31,Yucatán,023,Chocholá,31.08,12.88,45.57
31024,31,Yucatán,024,Chumayel,46.07,23.91,56.33
31025,31,Yucatán,025,Dzán,35.05,10.53,58.28
31026,31,Yucatán,026,Dzemul,36.88,16.88,41.14
31027,31,Yucatán,027,Dzidzantún,26.68,8.31,41.34
31028,31,Yucatán,028,Dzilam de Bravo,27.34,5.17,47.42
31029,31,Yucatán,029,Dzilam González,38.11,10.44,42.92
31030,31,Yucatán,030,Dzitás,44.86,22.16,63.42
