CVE,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,sin_primaria,analfabeta,con_hacinamiento
1001,01,Aguascalientes,001,Aguascalientes,11.48,2.59,25.25
1002,01,Aguascalientes,002,Asientos,26.02,5.54,45.27
1003,01,Aguascalientes,003,Calvillo,28.88,6.19,39.79
1004,01,Aguascalientes,004,Cosío,21.81,4.35,44.69
1005,01,Aguascalientes,005,Jesús María,18.21,3.76,39.16
1006,01,Aguascalientes,006,Pabellón de Arteaga,18.74,4.11,41.38
1007,01,Aguascalientes,007,Rincón de Romos,19.22,4.7,42.29
1008,01,Aguascalientes,008,San José de Gracia,18.93,3.45,41.65
1009,01,Aguascalientes,009,Tepezalá,26.77,5.91,47.4
1010,01,Aguascalientes,010,El Llano,25.67,5.77,45.18
1011,01,Aguascalientes,011,San Francisco de los Romo,20.51,4.74,42.84
