CVE,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,sin_primaria,analfabeta,con_hacinamiento
4001,04,Campeche,001,Calkiní,28.54,13.12,52.83
4002,04,Campeche,002,Campeche,15.9,5.02,37.34
4003,04,Campeche,003,Carmen,18.36,5.48,43.51
4004,04,Campeche,004,Champotón,31.31,12.21,51.71
4005,04,Campeche,005,Hecelchakán,26.04,11.74,54.19
4006,04,Campeche,006,Hopelchén,27.06,11.94,60.33
4007,04,Campeche,007,Palizada,30.67,11.46,51.47
4008,04,Campeche,008,Tenabo,29.29,13.37,56.08
4009,04,Campeche,009,Escárcega,31.25,12.02,56.42
4010,04,Campeche,010,Calakmul,36.56,17.87,64.49
4011,04,Campeche,011,Candelaria,36.6,15.78,54.42
