CVE,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,sin_primaria,analfabeta,con_hacinamiento
32001,32,Zacatecas,001,Apozol,36.81,8.14,32.31
32002,32,Zacatecas,002,Apulco,37.21,7.51,36.73
32003,32,Zacatecas,003,Atolinga,46.15,9.17,23.23
32004,32,Zacatecas,004,Benito Juárez,32,6.23,27.91
32005,32,Zacatecas,005,Calera,24.75,4.67,35.54
32006,32,Zacatecas,006,Cañitas de Felipe Pescador,22.17,5.08,35.59
32007,32,Zacatecas,007,Concepción del Oro,20.28,5.51,35.5
32008,32,Zacatecas,008,Cuauhtémoc,28.9,6.28,44.19
32009,32,Zacatecas,009,Chalchihuites,30.98,7.57,31.21
32010,32,Zacatecas,010,Fresnillo,21.4,4.57,34.5
32011,32,Zacatecas,011,Trinidad García de la Cadena,37.44,7.95,21.18
32012,32,Zacatecas,012,Genaro Codina,29.21,8.68,50.14
32013,32,Zacatecas,013,General Enrique Estrada,29.36,6.33,32.89
32014,32,Zacatecas,014,General Francisco R. Murguía,33.86,6.3,36.69
32015,32,Zacatecas,015,El Plateado de Joaquín Amaro,52.38,9.27,26.63
32016,32,Zacatecas,016,General Pánfilo Natera,36.67,9.07,40.47
32017,32,Zacatecas,017,Guadalupe,12.09,2.6,25
32018,32,Zacatecas,018,Huanusco,36.08,7.82,30.66
32019,32,Zacatecas,019,Jalpa,29.03,7.39,32.79
32020,32,Zacatecas,020,Jerez,27.76,5.23,24.43
32021,32,Zacatecas,021,Jiménez del Teul,37.38,10.99,41.8
32022,32,Zacatecas,022,Juan Aldama,24.51,3.86,36.01
32023,32,Zacatecas,023,Juchipila,30.89,6.72,22.24
32024,32,Zacatecas,024,Loreto,24.36,5.95,43.07
32025,32,Zacatecas,025,Luis Moya,27.49,6.98,40.26
32026,32,Zacatecas,026,Mazapil,34.83,10.37,43.62
32027,32,Zacatecas,027,Melchor Ocampo,35.54,12.43,39.59
32028,32,Zacatecas,028,Mezquital del Oro,41.21,8.69,34.26
32029,32,Zacatecas,029,Miguel Auza,23.22,4.27,37.98
32030,32,Zacatecas,030,Momax,36.45,6.32,26.17
32031,32,Zacatecas,031,Monte Escobedo,37.14,7.36,24.92
32032,32,Zacatecas,032,Morelos,21.69,2.62,29.66
32033,32,Zacatecas,033,Moyahua de Estrada,40.65,10.47,21.92
32034,32,Zacatecas,034,Nochistlán de Mejía,32.71,7.46,28.37
32035,32,Zacatecas,035,Noria de Ángeles,30.99,8.01,42.1
32036,32,Zacatecas,036,Ojocaliente,25.99,6.94,42.87
32037,32,Zacatecas,037,Pánuco,33.94,6.78,43.58
32038,32,Zacatecas,038,Pinos,30.59,11.11,40.97
32039,32,Zacatecas,039,Río Grande,26.81,5.27,32.91
32040,32,Zacatecas,040,Sain Alto,29.36,6.34,44.95
32041,32,Zacatecas,041,El Salvador,39.52,18.45,39.38
32042,32,Zacatecas,042,Sombrerete,26.03,5.14,34.54
32043,32,Zacatecas,043,Susticacán,42.39,9.56,31.96
32044,32,Zacatecas,044,Tabasco,31.9,8.06,34.08
32045,32,Zacatecas,045,Tepechitlán,34.32,6.87,28.19
32046,32,Zacatecas,046,Tepetongo,44.35,7.46,28.14
32047,32,Zacatecas,047,Teúl de González Ortega,29.44,5.58,25.66
32048,32,Zacatecas,048,Tlaltenango de Sánchez Román,28.02,6.2,31.44
32049,32,Zacatecas,049,Valparaíso,32.3,7.37,34.57
32050,32,Zacatecas,050,Vetagrande,26.88,4.87,39.94
32051,32,Zacatecas,051,Villa de Cos,32.72,6.41,40.23
32052,32,Zacatecas,052,Villa García,22.68,4.45,40.97
32053,32,Zacatecas,053,Villa González Ortega,32.57,7.67,39.2
32054,32,Zacatecas,054,Villa Hidalgo,30.34,10.08,44.58
32055,32,Zacatecas,055,Villanueva,33.7,6.25,27.71
32056,32,Zacatecas,056,Zacatecas,11.3,2.14,20.76
32057,32,Zacatecas,057,Trancoso,24.32,7.13,46.91
32058,32,Zacatecas,058,Santa María de la Paz,37.17,7.36,30.13
