CVE,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,sin_primaria,analfabeta,con_hacinamiento
19001,19,Nuevo León,001,Abasolo,15.73,2.78,42.31
19002,19,Nuevo León,002,Agualeguas,27.78,4.58,26.12
19003,19,Nuevo León,003,Los Aldamas,39.81,5.8,17.03
19004,19,Nuevo León,004,Allende,17.93,2.74,32.06
19005,19,Nuevo León,005,Anáhuac,23.63,4.17,35.84
19006,19,Nuevo León,006,Apodaca,6.17,1.11,31.52
19007,19,Nuevo León,007,Aramberri,37.94,10.7,44.38
19008,19,Nuevo León,008,Bustamante,18.6,3.87,34.15
19009,19,Nuevo León,009,Cadereyta Jiménez,15.38,2.62,32.87
19010,19,Nuevo León,010,El Carmen,12.84,2.42,50.69
19011,19,Nuevo León,011,Cerralvo,26.88,5.6,30.31
19012,19,Nuevo León,012,Ciénega de Flores,11.95,2.26,42.68
19013,19,Nuevo León,013,China,28.71,4.77,28.86
19014,19,Nuevo León,014,Doctor Arroyo,37.62,13.35,43.17
19015,19,Nuevo León,015,Doctor Coss,38.82,6.44,23.78
19016,19,Nuevo León,016,Doctor González,29.52,5.81,36.98
19017,19,Nuevo León,017,Galeana,34.09,8.97,44.96
19018,19,Nuevo León,018,García,9.42,2.03,46.42
19019,19,Nuevo León,019,San Pedro Garza García,6.4,1.45,13.58
19020,19,Nuevo León,020,General Bravo,28.38,5.45,30.26
19021,19,Nuevo León,021,General Escobedo,9.92,2.02,37.51
19022,19,Nuevo León,022,General Terán,28.85,5.32,32.66
19023,19,Nuevo León,023,General Treviño,34.84,4.55,21.96
19024,19,Nuevo León,024,General Zaragoza,36.14,7.38,47.29
19025,19,Nuevo León,025,General Zuazua,7.66,1.5,39.04
19026,19,Nuevo León,026,Guadalupe,9.67,1.92,25.37
19027,19,Nuevo León,027,Los Herreras,35.87,6.17,17.8
19028,19,Nuevo León,028,Higueras,21.69,5.29,39.91
19029,19,Nuevo León,029,Hualahuises,23.69,3.68,33.47
19030,19,Nuevo León,030,Iturbide,34,7.54,45.62
19031,19,Nuevo León,031,Juárez,8.6,1.63,42.59
19032,19,Nuevo León,032,Lampazos de Naranjo,25.09,4.56,34.92
19033,19,Nuevo León,033,Linares,20.23,3.07,37.69
19034,19,Nuevo León,034,Marín,16.13,3.18,42.04
19035,19,Nuevo León,035,Melchor Ocampo,25.58,4.35,17.86
19036,19,Nuevo León,036,Mier y Noriega,43.83,14.2,46.41
19037,19,Nuevo León,037,Mina,26.65,6.54,45.17
19038,19,Nuevo León,038,Montemorelos,18.19,3.42,34.17
19039,19,Nuevo León,039,Monterrey,10.62,2.31,25.89
19040,19,Nuevo León,040,Parás,25.83,5.48,31.23
19041,19,Nuevo León,041,Pesquería,15.78,3.08,41.08
19042,19,Nuevo León,042,Los Ramones,35.59,6.63,27.26
19043,19,Nuevo León,043,Rayones,43.7,11.09,39.24
19044,19,Nuevo León,044,Sabinas Hidalgo,16.65,3.41,31.08
19045,19,Nuevo León,045,Salinas Victoria,16.63,3.65,47.41
19046,19,Nuevo León,046,San Nicolás de los Garza,7.27,1.23,17.49
19047,19,Nuevo León,047,Hidalgo,15.53,3.22,39.18
19048,19,Nuevo León,048,Santa Catarina,11.01,2.3,29.87
19049,19,Nuevo León,049,Santiago,14.19,2.31,28.6
19050,19,Nuevo León,050,Vallecillo,31.73,5.94,32.42
19051,19,Nuevo León,051,Villaldama,20.18,4.03,27.31
