CVE,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,sin_primaria,analfabeta,con_hacinamiento
11001,11,Guanajuato,001,Abasolo,34.48,11.81,45.16
11002,11,Guanajuato,002,Acámbaro,28.65,10.87,31.91
11003,11,Guanajuato,003,San Miguel de Allende,29.23,12,42.26
11004,11,Guanajuato,004,Apaseo el Alto,31.21,11.49,42.04
11005,11,Guanajuato,005,Apaseo el Grande,26.31,10.29,41.6
11006,11,Guanajuato,006,Atarjea,40.75,19.95,44.19
11007,11,Guanajuato,007,Celaya,16.49,5.45,29.53
11008,11,Guanajuato,008,Manuel Doblado,37.76,13.24,39.58
11009,11,Guanajuato,009,Comonfort,30.37,12.5,47.9
11010,11,Guanajuato,010,Coroneo,34.69,12.44,36.53
11011,11,Guanajuato,011,Cortazar,23.85,7.9,36.43
11012,11,Guanajuato,012,Cuerámaro,31.11,11.84,38.82
11013,11,Guanajuato,013,Doctor Mora,34,16.28,49.51
11014,11,Guanajuato,014,Dolores Hidalgo Cuna de la Independencia Nacional,32.26,11.92,46.07
11015,11,Guanajuato,015,Guanajuato,16.92,5.21,33.33
11016,11,Guanajuato,016,Huanímaro,33.7,9.23,39.97
11017,11,Guanajuato,017,Irapuato,18.5,6.25,34.69
11018,11,Guanajuato,018,Jaral del Progreso,25.99,9.41,36.88
11019,11,Guanajuato,019,Jerécuaro,39.89,17.48,41.12
11020,11,Guanajuato,020,León,17.83,5.11,31.8
11021,11,Guanajuato,021,Moroleón,25.82,7.42,25.22
11022,11,Guanajuato,022,Ocampo,39.08,13.44,43.04
11023,11,Guanajuato,023,Pénjamo,34.23,11.54,39.48
11024,11,Guanajuato,024,Pueblo Nuevo,34.7,13.09,36.32
11025,11,Guanajuato,025,Purísima del Rincón,28.16,7.02,47.11
11026,11,Guanajuato,026,Romita,35.6,11.34,45.82
11027,11,Guanajuato,027,Salamanca,19.77,7.36,29.83
11028,11,Guanajuato,028,Salvatierra,32.18,11.96,34.53
11029,11,Guanajuato,029,San Diego de la Unión,38.82,14.91,46.27
11030,11,Guanajuato,030,San Felipe,35.16,13.32,49.2
11031,11,Guanajuato,031,San Francisco del Rincón,26.36,8.14,38.27
11032,11,Guanajuato,032,San José Iturbide,24.83,9.98,42.9
11033,11,Guanajuato,033,San Luis de la Paz,31.22,12.83,47.47
11034,11,Guanajuato,034,Santa Catarina,35.99,18.73,41.33
11035,11,Guanajuato,035,Santa Cruz de Juventino Rosas,32.78,12.26,44.94
11036,11,Guanajuato,036,Santiago Maravatío,39.44,16.41,28.65
11037,11,Guanajuato,037,Silao de la Victoria,25.6,8.74,46.24
11038,11,Guanajuato,038,Tarandacuao,31.08,10.4,34.28
11039,11,Guanajuato,039,Tarimoro,37.33,13.65,34.02
11040,11,Guanajuato,040,Tierra Blanca,35.39,16.37,58.03
11041,11,Guanajuato,041,Uriangato,29.92,7.76,32.87
11042,11,Guanajuato,042,Valle de Santiago,31.76,10.27,39.05
11043,11,Guanajuato,043,Victoria,30.57,14.32,45.94
11044,11,Guanajuato,044,Villagrán,21.88,7.9,38.68
11045,11,Guanajuato,045,Xichú,42.34,20.94,46.91
11046,11,Guanajuato,046,Yuriria,37.36,12.72,37.47
