CVE,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,sin_primaria,analfabeta,con_hacinamiento
18001,18,Nayarit,001,Acaponeta,23.63,8.04,39.67
18002,18,Nayarit,002,Ahuacatlán,25.11,6.81,28.07
18003,18,Nayarit,003,Amatlán de Cañas,31.98,8.58,29.29
18004,18,Nayarit,004,Compostela,27.71,7.28,36.25
18005,18,Nayarit,005,Huajicori,33.92,14.08,62.64
18006,18,Nayarit,006,Ixtlán del Río,22.78,6.43,30.17
18007,18,Nayarit,007,Jala,26.69,8.37,48.15
18008,18,Nayarit,008,Xalisco,16.31,3.81,29.17
18009,18,Nayarit,009,Del Nayar,56.12,33.85,67.75
18010,18,Nayarit,010,Rosamorada,30.56,9.41,40.78
18011,18,Nayarit,011,Ruíz,29.73,9.72,44.27
18012,18,Nayarit,012,San Blas,28.14,7.27,36.18
18013,18,Nayarit,013,San Pedro Lagunillas,28.96,7.79,29.18
18014,18,Nayarit,014,Santa María del Oro,32.41,9.55,35.76
18015,18,Nayarit,015,Santiago Ixcuintla,27.81,7.68,36.7
18016,18,Nayarit,016,Tecuala,28.91,8.27,35.71
18017,18,Nayarit,017,Tepic,12.51,3.12,26.36
18018,18,Nayarit,018,Tuxpan,25.26,6.51,35.86
18019,18,Nayarit,019,La Yesca,41.52,14.03,52.67
18020,18,Nayarit,020,Bahía de Banderas,17.39,4.23,36.35
