CVE,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,sin_primaria,analfabeta,con_hacinamiento
5001,05,Coahuila de Zaragoza,001,Abasolo,19.22,3.92,18.21
5002,05,Coahuila de Zaragoza,002,Acuña,14.24,2.7,39.57
5003,05,Coahuila de Zaragoza,003,Allende,14.01,2.77,29.72
5004,05,Coahuila de Zaragoza,004,Arteaga,25.72,6.37,40.46
5005,05,Coahuila de Zaragoza,005,Candela,30.59,8.73,36.02
5006,05,Coahuila de Zaragoza,006,Castaños,13.43,2.79,38.5
5007,05,Coahuila de Zaragoza,007,Cuatro Ciénegas,21.03,5.39,39.41
5008,05,Coahuila de Zaragoza,008,Escobedo,23.99,4.28,33.37
5009,05,Coahuila de Zaragoza,009,Francisco I. Madero,19.92,4.7,36.06
5010,05,Coahuila de Zaragoza,010,Frontera,10.71,2.32,38.87
5011,05,Coahuila de Zaragoza,011,General Cepeda,28.54,8.06,38.69
5012,05,Coahuila de Zaragoza,012,Guerrero,29.12,7.71,29
5013,05,Coahuila de Zaragoza,013,Hidalgo,23.37,6.39,38.23
5014,05,Coahuila de Zaragoza,014,Jiménez,29.22,4.51,32.99
5015,05,Coahuila de Zaragoza,015,Juárez,23.34,2.62,34.16
5016,05,Coahuila de Zaragoza,016,Lamadrid,19.68,4.26,27.72
5017,05,Coahuila de Zaragoza,017,Matamoros,20.03,4.67,38.91
5018,05,Coahuila de Zaragoza,018,Monclova,8.61,1.66,28.71
5019,05,Coahuila de Zaragoza,019,Morelos,15.58,2.78,34.13
5020,05,Coahuila de Zaragoza,020,Múzquiz,18.08,3.46,35.42
5021,05,Coahuila de Zaragoza,021,Nadadores,15.6,3.81,34.31
5022,05,Coahuila de Zaragoza,022,Nava,15.6,3.09,36.58
5023,05,Coahuila de Zaragoza,023,Ocampo,24.37,5.93,35.56
5024,05,Coahuila de Zaragoza,024,Parras,17.62,5.2,34.86
5025,05,Coahuila de Zaragoza,025,Piedras Negras,11.06,2.15,34.01
5026,05,Coahuila de Zaragoza,026,Progreso,26.65,4.62,31.24
5027,05,Coahuila de Zaragoza,027,Ramos Arizpe,11.82,3.21,29.1
5028,05,Coahuila de Zaragoza,028,Sabinas,11.9,2.36,29.56
5029,05,Coahuila de Zaragoza,029,Sacramento,17.42,5.23,27.68
5030,05,Coahuila de Zaragoza,030,Saltillo,9.1,2.14,27.18
5031,05,Coahuila de Zaragoza,031,San Buenaventura,11.52,2.37,28.91
5032,05,Coahuila de Zaragoza,032,San Juan de Sabinas,12.1,2.06,28.37
5033,05,Coahuila de Zaragoza,033,San Pedro,21.96,5.8,38.17
5034,05,Coahuila de Zaragoza,034,Sierra Mojada,15.04,3.46,38.2
5035,05,Coahuila de Zaragoza,035,Torreón,9.58,1.78,24.81
5036,05,Coahuila de Zaragoza,036,Viesca,28.43,6.94,40.39
5037,05,Coahuila de Zaragoza,037,Villa Unión,18.72,4,34.86
5038,05,Coahuila de Zaragoza,038,Zaragoza,23.21,3.8,31.94
