CVE,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,sin_primaria,analfabeta,con_hacinamiento
14001,14,Jalisco,001,Acatic,37.03,10.82,39.9
14002,14,Jalisco,002,Acatlán de Juárez,17.79,3.79,36.09
14003,14,Jalisco,003,Ahualulco de Mercado,21.48,4.89,30.91
14004,14,Jalisco,004,Amacueca,27.1,6.38,35.21
14005,14,Jalisco,005,Amatitán,22.17,5.52,42.13
14006,14,Jalisco,006,Ameca,24.2,5.24,29.17
14007,14,Jalisco,007,San Juanito de Escobedo,25.61,5.14,37.33
14008,14,Jalisco,008,Arandas,32.52,9.55,32.32
14009,14,Jalisco,009,El Arenal,22.26,5.66,37.37
14010,14,Jalisco,010,Atemajac de Brizuela,34.72,11.27,51.93
14011,14,Jalisco,011,Atengo,37.82,9.43,38.35
14012,14,Jalisco,012,Atenguillo,31.06,8.31,25.3
14013,14,Jalisco,013,Atotonilco el Alto,30.09,8.52,34.24
14014,14,Jalisco,014,Atoyac,35.76,10.13,33.57
14015,14,Jalisco,015,Autlán de Navarro,21.16,4.8,29.46
14016,14,Jalisco,016,Ayotlán,37.62,11.36,41.79
14017,14,Jalisco,017,Ayutla,31.11,7.45,32.3
14018,14,Jalisco,018,La Barca,28,8.14,35.14
14019,14,Jalisco,019,Bolaños,44.43,19.47,54.56
14020,14,Jalisco,020,Cabo Corrientes,32.25,5.83,41.64
14021,14,Jalisco,021,Casimiro Castillo,28.21,7.98,34.96
14022,14,Jalisco,022,Cihuatlán,25.77,7.13,42.79
14023,14,Jalisco,023,Zapotlán el Grande,16.27,4.23,26.77
14024,14,Jalisco,024,Cocula,25.92,7.17,32.51
14025,14,Jalisco,025,Colotlán,26.83,5.45,29.83
14026,14,Jalisco,026,Concepción de Buenos Aires,32.74,10.13,31.13
14027,14,Jalisco,027,Cuautitlán de García Barragán,40.95,17.09,49.52
14028,14,Jalisco,028,Cuautla,37.57,8.27,22.6
14029,14,Jalisco,029,Cuquío,36.8,11.02,34.17
14030,14,Jalisco,030,Chapala,19.41,4.18,32.35
14031,14,Jalisco,031,Chimaltitán,43.85,14.57,49.39
14032,14,Jalisco,032,Chiquilistlán,31.11,10.18,43.24
14033,14,Jalisco,033,Degollado,35.86,9.8,36.19
14034,14,Jalisco,034,Ejutla,32.59,7.91,19.74
14035,14,Jalisco,035,Encarnación de Díaz,33.19,8.31,34.33
14036,14,Jalisco,036,Etzatlán,19.84,4.01,34.6
14037,14,Jalisco,037,El Grullo,23.42,5.16,31.67
14038,14,Jalisco,038,Guachinango,36.29,10.56,31.35
14039,14,Jalisco,039,Guadalajara,10.9,2.11,20.4
14040,14,Jalisco,040,Hostotipaquillo,31.5,8.2,44.86
14041,14,Jalisco,041,Huejúcar,36.68,7.16,26.46
14042,14,Jalisco,042,Huejuquilla el Alto,36.35,10.95,41.8
14043,14,Jalisco,043,La Huerta,30.64,9.2,36.79
