CVE,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,sin_primaria,analfabeta,con_hacinamiento
12001,12,Guerrero,001,Acapulco de Juárez,18.89,8.04,41.16
12002,12,Guerrero,002,Ahuacuotzingo,58.54,35.55,68.34
12003,12,Guerrero,003,Ajuchitlán del Progreso,44.71,22.27,61.67
12004,12,Guerrero,004,Alcozauca de Guerrero,67.27,50.06,66.01
12005,12,Guerrero,005,Alpoyeca,41.73,20.15,49.17
12006,12,Guerrero,006,Apaxtla,37.1,18.84,46.95
12007,12,Guerrero,007,Arcelia,30.84,16.75,49.81
12008,12,Guerrero,008,Atenango del Río,46.77,22.37,47.91
12009,12,Guerrero,009,Atlamajalcingo del Monte,48.45,32.23,70.31
12010,12,Guerrero,010,Atlixtac,58.64,41.06,66.44
12011,12,Guerrero,011,Atoyac de Álvarez,30.6,12.71,53.79
12012,12,Guerrero,012,Ayutla de los Libres,39.18,24.7,70.22
12013,12,Guerrero,013,Azoyú,39.59,23.36,57.61
12014,12,Guerrero,014,Benito Juárez,28.72,12.39,40.27
12015,12,Guerrero,015,Buenavista de Cuéllar,31.09,12.14,36.25
12016,12,Guerrero,016,Coahuayutla de José María Izazaga,49.57,23.98,57.43
12017,12,Guerrero,017,Cocula,37.6,17.22,42.82
12018,12,Guerrero,018,Copala,36.4,20.04,51.74
12019,12,Guerrero,019,Copalillo,57.58,36.35,69.19
12020,12,Guerrero,020,Copanatoyac,59,41.42,73.29
12021,12,Guerrero,021,Coyuca de Benítez,31.51,16.19,51.21
12022,12,Guerrero,022,Coyuca de Catalán,42.89,21.96,47.33
12023,12,Guerrero,023,Cuajinicuilapa,43.34,23.4,47.81
12024,12,Guerrero,024,Cualác,44.33,21.89,59.62
12025,12,Guerrero,025,Cuautepec,38.04,22.22,64.47
12026,12,Guerrero,026,Cuetzala del Progreso,47.27,23.93,45.96
12027,12,Guerrero,027,Cutzamala de Pinzón,51.11,27.03,44.06
12028,12,Guerrero,028,Chilapa de Álvarez,47.33,31.92,64.06
12029,12,Guerrero,029,Chilpancingo de los Bravo,18.28,7.91,43.69
12030,12,Guerrero,030,Florencio Villarreal,33.64,19.01,55.63
12031,12,Guerrero,031,General Canuto A. Neri,40.95,20.03,43.26
12032,12,Guerrero,032,General Heliodoro Castillo,42.53,17.83,71.01
12033,12,Guerrero,033,Huamuxtitlán,38.35,20.7,45.92
12034,12,Guerrero,034,Huitzuco de los Figueroa,37.9,17.2,41.57
12035,12,Guerrero,035,Iguala de la Independencia,19.86,7.68,38.37
12036,12,Guerrero,036,Igualapa,39.6,22.04,62
12037,12,Guerrero,037,Ixcateopan de Cuauhtémoc,37.26,14.74,45.75
12038,12,Guerrero,038,Zihuatanejo de Azueta,20.65,7.74,41.48
12039,12,Guerrero,039,Juan R. Escudero,34.58,16.13,52.11
12040,12,Guerrero,040,Leonardo Bravo,39.36,19.24,64.28
12041,12,Guerrero,041,Malinaltepec,37.21,24.04,67.19
12042,12,Guerrero,042,Mártir de Cuilapan,55.71,35.72,64.82
12043,12,Guerrero,043,Metlatónoc,68.55,52.5,72.09
12044,12,Guerrero,044,Mochitlán,35.72,17.95,51.97
12045,12,Guerrero,045,Olinalá,46.52,29.6,63.41
12046,12,Guerrero,046,Ometepec,36.54,22.62,59.18
12047,12,Guerrero,047,Pedro Ascencio Alquisiras,49.01,23.55,54.36
12048,12,Guerrero,048,Petatlán,31.78,13.68,50.24
12049,12,Guerrero,049,Pilcaya,34.65,10.2,43.05
12050,12,Guerrero,050,Pungarabato,26.49,11.95,50.68
12051,12,Guerrero,051,Quechultenango,47.73,29.24,64.41
12052,12,Guerrero,052,San Luis Acatlán,42.03,26.5,71.98
12053,12,Guerrero,053,San Marcos,38.52,20.39,54.21
12054,12,Guerrero,054,San Miguel Totolapan,43.01,20,66.91
12055,12,Guerrero,055,Taxco de Alarcón,26.07,11.64,46.33
12056,12,Guerrero,056,Tecoanapa,34.02,19.29,67.08
12057,12,Guerrero,057,Técpan de Galeana,34.1,16,46.88
12058,12,Guerrero,058,Teloloapan,34.08,16.75,45.22
12059,12,Guerrero,059,Tepecoacuilco de Trujano,41.55,20.76,42.33
12060,12,Guerrero,060,Tetipac,40.82,14.65,48.51
12061,12,Guerrero,061,Tixtla de Guerrero,29.48,17.43,50.34
12062,12,Guerrero,062,Tlacoachistlahuaca,66.95,49.11,72.67
12063,12,Guerrero,063,Tlacoapa,37.76,26.05,64.42
12064,12,Guerrero,064,Tlalchapa,41.76,21.7,40.34
12065,12,Guerrero,065,Tlalixtaquilla de Maldonado,50.64,28.41,51.61
12066,12,Guerrero,066,Tlapa de Comonfort,36.15,23.49,62.94
12067,12,Guerrero,067,Tlapehuala,33.44,20.82,52.39
12068,12,Guerrero,068,La Unión de Isidoro Montes de Oca,37.64,16.52,50.55
12069,12,Guerrero,069,Xalpatláhuac,59.68,42.57,66.37
12070,12,Guerrero,070,Xochihuehuetlán,51.04,28.73,48.56
12071,12,Guerrero,071,Xochistlahuaca,62.77,47.41,63.13
12072,12,Guerrero,072,Zapotitlán Tablas,48.78,33.54,65.78
12073,12,Guerrero,073,Zirándaro,52.75,24.43,49.96
12074,12,Guerrero,074,Zitlala,52.76,35.94,65.67
12075,12,Guerrero,075,Eduardo Neri,32.68,18.03,57.37
12076,12,Guerrero,076,Acatepec,43.7,30.84,68.19
12077,12,Guerrero,077,Marquelia,33.42,17.57,54.06
12078,12,Guerrero,078,Cochoapa el Grande,81.26,66.74,77.63
12079,12,Guerrero,079,José Joaquín de Herrera,60.41,46.33,76.47
12080,12,Guerrero,080,Juchitán,46.46,26.4,54.77
12081,12,Guerrero,081,Iliatenco,32.05,18.86,67.82
