CVE,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,sin_primaria,analfabeta,con_hacinamiento
28001,28,Tamaulipas,001,Abasolo,31.37,8.67,40.23
28002,28,Tamaulipas,002,Aldama,33.4,7.87,40.3
28003,28,Tamaulipas,003,Altamira,16.23,3.9,39.87
28004,28,Tamaulipas,004,Antiguo Morelos,32.84,9.14,40.87
28005,28,Tamaulipas,005,Burgos,44.17,7.1,29.28
28006,28,Tamaulipas,006,Bustamante,46.32,19.48,49.74
28007,28,Tamaulipas,007,Camargo,26.55,5.69,30.33
28008,28,Tamaulipas,008,Casas,38.36,9.5,47.64
28009,28,Tamaulipas,009,Ciudad Madero,8.44,1.86,25.04
28010,28,Tamaulipas,010,Cruillas,37.17,10.1,36.54
28011,28,Tamaulipas,011,Gómez Farías,31.12,11.67,42.54
28012,28,Tamaulipas,012,González,34.01,9.49,45.54
28013,28,Tamaulipas,013,Güémez,31.43,7.27,46.25
28014,28,Tamaulipas,014,Guerrero,22.82,4.11,20.92
28015,28,Tamaulipas,015,Gustavo Díaz Ordaz,24.4,5.36,28.14
28016,28,Tamaulipas,016,Hidalgo,31.52,6.28,40.88
28017,28,Tamaulipas,017,Jaumave,32.81,8.8,44.69
28018,28,Tamaulipas,018,Jiménez,26.75,6.07,40.97
28019,28,Tamaulipas,019,Llera,36.53,9.7,39.08
28020,28,Tamaulipas,020,Mainero,32.88,6.48,34.14
28021,28,Tamaulipas,021,El Mante,20.28,5.87,34.75
28022,28,Tamaulipas,022,Matamoros,14.25,3.08,36
28023,28,Tamaulipas,023,Méndez,43.92,7.93,33.36
28024,28,Tamaulipas,024,Mier,19.18,4.3,24.12
28025,28,Tamaulipas,025,Miguel Alemán,17.11,3.29,24.95
28026,28,Tamaulipas,026,Miquihuana,43.81,16.89,46.28
28027,28,Tamaulipas,027,Nuevo Laredo,13.34,2.81,36.89
28028,28,Tamaulipas,028,Nuevo Morelos,30.23,9.32,41.98
28029,28,Tamaulipas,029,Ocampo,35.56,8.7,40.05
28030,28,Tamaulipas,030,Padilla,27.53,6.82,40.3
28031,28,Tamaulipas,031,Palmillas,39.94,9.09,34.53
28032,28,Tamaulipas,032,Reynosa,12.2,2.58,37.15
28033,28,Tamaulipas,033,Río Bravo,20.13,4.81,39.15
28034,28,Tamaulipas,034,San Carlos,40.17,6.1,42.11
28035,28,Tamaulipas,035,San Fernando,28.17,6.53,42.64
28036,28,Tamaulipas,036,San Nicolás,38.73,7.59,56.55
28037,28,Tamaulipas,037,Soto la Marina,34.23,8.49,43.13
28038,28,Tamaulipas,038,Tampico,9.74,2.08,26.75
28039,28,Tamaulipas,039,Tula,38.59,11.93,45.32
28040,28,Tamaulipas,040,Valle Hermoso,20.5,4.35,35.24
28041,28,Tamaulipas,041,Victoria,12.22,2.48,32.5
28042,28,Tamaulipas,042,Villagrán,38.85,6.17,38.38
28043,28,Tamaulipas,043,Xicoténcatl,24.28,7.87,37.11
