CVE,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,sin_primaria,analfabeta,con_hacinamiento
22001,22,Querétaro,001,Amealco de Bonfil,37.49,17.46,49.96
22002,22,Querétaro,002,Pinal de Amoles,38.36,17.2,51.81
22003,22,Querétaro,003,Arroyo Seco,38.65,14.6,39.43
22004,22,Querétaro,004,Cadereyta de Montes,29.25,13.36,50.24
22005,22,Querétaro,005,Colón,27.68,11.28,56.69
22006,22,Querétaro,006,Corregidora,10.11,3.23,20.42
22007,22,Querétaro,007,Ezequiel Montes,26.01,10.69,44.67
22008,22,Querétaro,008,Huimilpan,34.85,14.1,48.95
22009,22,Querétaro,009,Jalpan de Serra,31.08,12.8,42.22
22010,22,Querétaro,010,Landa de Matamoros,41.47,17.63,41.91
22011,22,Querétaro,011,El Marqués,21.55,7.82,48.67
22012,22,Querétaro,012,Pedro Escobedo,22.93,7.79,48.85
22013,22,Querétaro,013,Peñamiller,32.96,13.51,50.45
22014,22,Querétaro,014,Querétaro,10.22,3.33,24.2
22015,22,Querétaro,015,San Joaquín,36.68,19.29,47.29
22016,22,Querétaro,016,San Juan del Río,14.75,5.41,32.3
22017,22,Querétaro,017,Tequisquiapan,19.94,7.71,44.43
22018,22,Querétaro,018,Tolimán,27.43,12.39,57.14
