CVE,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,sin_primaria,analfabeta,con_hacinamiento
8001,08,Chihuahua,001,Ahumada,26.58,3.73,34.72
8002,08,Chihuahua,002,Aldama,20.5,3.84,27.32
8003,08,Chihuahua,003,Allende,22.83,4.51,20.66
8004,08,Chihuahua,004,Aquiles Serdán,13.26,3.38,31.9
8005,08,Chihuahua,005,Ascensión,28.01,5.56,35.12
8006,08,Chihuahua,006,Bachíniva,37.82,4.87,15.19
8007,08,Chihuahua,007,Balleza,52.88,27.29,49.55
8008,08,Chihuahua,008,Batopilas,62.22,38.07,62.72
8009,08,Chihuahua,009,Bocoyna,35.81,14.25,46.51
8010,08,Chihuahua,010,Buenaventura,28.24,5.26,30.45
8011,08,Chihuahua,011,Camargo,16.51,3.12,26.95
8012,08,Chihuahua,012,Carichí,62.14,39.25,41.14
8013,08,Chihuahua,013,Casas Grandes,26.57,4.05,27.92
8014,08,Chihuahua,014,Coronado,28.73,5.1,22.84
8015,08,Chihuahua,015,Coyame del Sotol,38.82,7.74,20.11
8016,08,Chihuahua,016,La Cruz,21.42,3.63,26.21
8017,08,Chihuahua,017,Cuauhtémoc,16.42,2.31,24.37
8018,08,Chihuahua,018,Cusihuiriachi,32.48,5.64,21.28
8019,08,Chihuahua,019,Chihuahua,8.76,1.38,19.85
8020,08,Chihuahua,020,Chínipas,40.36,13.76,47
8021,08,Chihuahua,021,Delicias,14.05,2.69,26.12
8022,08,Chihuahua,022,Dr. Belisario Domínguez,44.39,7.04,11.26
8023,08,Chihuahua,023,Galeana,25.45,5.08,34.53
8024,08,Chihuahua,024,Santa Isabel,28.36,2.95,17.73
8025,08,Chihuahua,025,Gómez Farías,26.85,3.99,20.63
8026,08,Chihuahua,026,Gran Morelos,40.34,6.31,13.91
8027,08,Chihuahua,027,Guachochi,48.57,25.33,54.64
8028,08,Chihuahua,028,Guadalupe,27.38,4.64,33.12
8029,08,Chihuahua,029,Guadalupe y Calvo,47.34,21.47,53.55
8030,08,Chihuahua,030,Guazapares,47.57,18.82,48.64
8031,08,Chihuahua,031,Guerrero,32.65,5.95,29.7
8032,08,Chihuahua,032,Hidalgo del Parral,13.29,2.37,26.5
8033,08,Chihuahua,033,Huejotitán,42.57,9.38,21.15
8034,08,Chihuahua,034,Ignacio Zaragoza,29.57,3.56,18.64
8035,08,Chihuahua,035,Janos,28.08,6.09,29.31
8036,08,Chihuahua,036,Jiménez,19.76,4.52,32.17
8037,08,Chihuahua,037,Juárez,11.56,1.91,31.99
8038,08,Chihuahua,038,Julimes,32.98,4.06,23.69
8039,08,Chihuahua,039,López,26.3,4.58,22.15
8040,08,Chihuahua,040,Madera,29.01,5.84,30.88
8041,08,Chihuahua,041,Maguarichi,48.46,19.86,55.79
8042,08,Chihuahua,042,Manuel Benavides,43.36,6.26,17
8043,08,Chihuahua,043,Matachí,33.23,4.47,21.93
8044,08,Chihuahua,044,Matamoros,24.86,4.38,26.77
8045,08,Chihuahua,045,Meoqui,22.46,3.97,28.52
8046,08,Chihuahua,046,Morelos,47.2,21.42,48.66
8047,08,Chihuahua,047,Moris,43.2,12.09,38.09
8048,08,Chihuahua,048,Namiquipa,30.43,3.52,19.45
8049,08,Chihuahua,049,Nonoava,42.7,15.56,31
8050,08,Chihuahua,050,Nuevo Casas Grandes,15.1,2.16,25.35
8051,08,Chihuahua,051,Ocampo,37.43,8.95,47.79
8052,08,Chihuahua,052,Ojinaga,23.22,3.51,23.07
8053,08,Chihuahua,053,Praxedis G. Guerrero,31.38,4.75,31.02
8054,08,Chihuahua,054,Riva Palacio,12.89,1.8,28.31
8055,08,Chihuahua,055,Rosales,24.96,4.06,29.56
8056,08,Chihuahua,056,Rosario,45.88,9.85,17.94
8057,08,Chihuahua,057,San Francisco de Borja,40,8.74,15.82
8058,08,Chihuahua,058,San Francisco de Conchos,22.87,3.76,26.18
8059,08,Chihuahua,059,San Francisco del Oro,18.9,3.99,23.95
8060,08,Chihuahua,060,Santa Bárbara,17.23,3.76,25.35
8061,08,Chihuahua,061,Satevó,37.44,5.11,19.4
8062,08,Chihuahua,062,Saucillo,22.06,3.75,27.76
8063,08,Chihuahua,063,Temósachic,42.33,8.93,29.66
8064,08,Chihuahua,064,El Tule,42.67,10.98,20.29
8065,08,Chihuahua,065,Urique,52,29.78,51.78
8066,08,Chihuahua,066,Uruachi,49.83,20.95,48.63
8067,08,Chihuahua,067,Valle de Zaragoza,34.95,4.86,24.93
