CVE,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,sin_primaria,analfabeta,con_hacinamiento
24001,24,San Luis Potosí,001,Ahualulco,35.86,11.65,51.15
24002,24,San Luis Potosí,002,Alaquines,44.9,16.67,39.42
24003,24,San Luis Potosí,003,Aquismón,44.84,23.05,60.96
24004,24,San Luis Potosí,004,Armadillo de los Infante,47.8,13.42,35.26
24005,24,San Luis Potosí,005,Cárdenas,27.44,8.59,32.05
24006,24,San Luis Potosí,006,Catorce,33.41,13.03,42.58
24007,24,San Luis Potosí,007,Cedral,26.59,7.83,41.63
24008,24,San Luis Potosí,008,Cerritos,31.08,7.92,33.1
24009,24,San Luis Potosí,009,Cerro de San Pedro,25.43,6.95,34.6
24010,24,San Luis Potosí,010,Ciudad del Maíz,35.3,10.69,42.91
24011,24,San Luis Potosí,011,Ciudad Fernández,30.94,10.06,38.15
24012,24,San Luis Potosí,012,Tancanhuitz,32.97,14.71,54.68
24013,24,San Luis Potosí,013,Ciudad Valles,20.11,6.49,38
24014,24,San Luis Potosí,014,Coxcatlán,33.74,15.65,42.11
24015,24,San Luis Potosí,015,Charcas,27.1,9.58,34.46
24016,24,San Luis Potosí,016,Ebano,28.23,8.52,42.76
24017,24,San Luis Potosí,017,Guadalcázar,45.4,17.42,43.4
24018,24,San Luis Potosí,018,Huehuetlán,31.87,14.17,52.86
24019,24,San Luis Potosí,019,Lagunillas,53.18,20.68,35.53
24020,24,San Luis Potosí,020,Matehuala,19.28,5.47,30.6
24021,24,San Luis Potosí,021,Mexquitic de Carmona,28.93,9.13,46.23
24022,24,San Luis Potosí,022,Moctezuma,39.2,12.77,46.56
24023,24,San Luis Potosí,023,Rayón,43.22,15.22,36.98
24024,24,San Luis Potosí,024,Rioverde,31.15,10.87,36.03
24025,24,San Luis Potosí,025,Salinas,31.07,7.97,43.37
24026,24,San Luis Potosí,026,San Antonio,33.68,14.78,51.38
24027,24,San Luis Potosí,027,San Ciro de Acosta,47.6,15.66,33.15
24028,24,San Luis Potosí,028,San Luis Potosí,10.66,2.75,21.01
24029,24,San Luis Potosí,029,San Martín Chalchicuautla,40.92,21.87,39.75
24030,24,San Luis Potosí,030,San Nicolás Tolentino,49.07,14.24,28.52
24031,24,San Luis Potosí,031,Santa Catarina,54.85,30.3,60.26
24032,24,San Luis Potosí,032,Santa María del Río,35.12,12.37,43.48
24033,24,San Luis Potosí,033,Santo Domingo,43.96,11.22,36.41
24034,24,San Luis Potosí,034,San Vicente Tancuayalab,32.02,14.92,44.71
24035,24,San Luis Potosí,035,Soledad de Graciano Sánchez,11.03,2.8,26.51
24036,24,San Luis Potosí,036,Tamasopo,38.16,14.51,42.37
24037,24,San Luis Potosí,037,Tamazunchale,31.04,16.13,52.57
24038,24,San Luis Potosí,038,Tampacán,31.84,15.06,42.56
24039,24,San Luis Potosí,039,Tampamolón Corona,34.12,18.27,48.45
24040,24,San Luis Potosí,040,Tamuín,29.86,9.12,41.94
24041,24,San Luis Potosí,041,Tanlajás,34.09,14.68,54.72
24042,24,San Luis Potosí,042,Tanquián de Escobedo,29.77,13.87,40.57
24043,24,San Luis Potosí,043,Tierra Nueva,43.29,16.16,43
24044,24,San Luis Potosí,044,Vanegas,35.16,10.95,49.36
24045,24,San Luis Potosí,045,Venado,34.99,11.61,38.36
24046,24,San Luis Potosí,046,Villa de Arriaga,36.73,11.11,44.81
24047,24,San Luis Potosí,047,Villa de Guadalupe,47.44,17.38,41.12
24048,24,San Luis Potosí,048,Villa de la Paz,25.74,8.74,35.48
24049,24,San Luis Potosí,049,Villa de Ramos,46.54,11.27,47.85
24050,24,San Luis Potosí,050,Villa de Reyes,32.71,9.54,50.01
24051,24,San Luis Potosí,051,Villa Hidalgo,36.08,9.97,37.49
24052,24,San Luis Potosí,052,Villa Juárez,47.59,14.4,31.49
24053,24,San Luis Potosí,053,Axtla de Terrazas,27.23,10.32,43.81
24054,24,San Luis Potosí,054,Xilitla,29.51,11.12,53.37
24055,24,San Luis Potosí,055,Zaragoza,34.74,14.11,49.83
24056,24,San Luis Potosí,056,Villa de Arista,37.58,13.45,52.76
24057,24,San Luis Potosí,057,Matlapa,36.08,16.61,52.23
24058,24,San Luis Potosí,058,El Naranjo,29.86,7.23,42.93
