CVE,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,sin_primaria,analfabeta,con_hacinamiento
29001,29,Tlaxcala,001,Amaxac de Guerrero,10.08,2.69,40.83
29002,29,Tlaxcala,002,Apetatitlán de Antonio Carvajal,9.26,2.36,32
29003,29,Tlaxcala,003,Atlangatepec,25.39,8.96,48.33
29004,29,Tlaxcala,004,Atltzayanca,27.88,8.71,58.37
29005,29,Tlaxcala,005,Apizaco,9.51,2.83,28.83
29006,29,Tlaxcala,006,Calpulalpan,14.84,4.7,44.03
29007,29,Tlaxcala,007,El Carmen Tequexquitla,30.22,14,56.43
29008,29,Tlaxcala,008,Cuapiaxtla,25.11,8.17,54.49
29009,29,Tlaxcala,009,Cuaxomulco,15.06,4.65,45.63
29010,29,Tlaxcala,010,Chiautempan,10.93,2.95,40.4
29011,29,Tlaxcala,011,Muñoz de Domingo Arenas,18.09,4.88,44.03
29012,29,Tlaxcala,012,Españita,25.12,7.83,51.26
29013,29,Tlaxcala,013,Huamantla,19.09,6.56,51.88
29014,29,Tlaxcala,014,Hueyotlipan,22.19,7.55,47.78
29015,29,Tlaxcala,015,Ixtacuixtla de Mariano Matamoros,15.36,4.39,40.56
29016,29,Tlaxcala,016,Ixtenco,20.47,7.86,46.53
29017,29,Tlaxcala,017,Mazatecochco de José María Morelos,19.29,7.54,50.17
29018,29,Tlaxcala,018,Contla de Juan Cuamatzi,15.84,5.92,53.8
29019,29,Tlaxcala,019,Tepetitla de Lardizábal,12.64,2.88,43.08
29020,29,Tlaxcala,020,Sanctórum de Lázaro Cárdenas,19.16,7.29,50.35
29021,29,Tlaxcala,021,Nanacamilpa de Mariano Arista,19.26,6.6,43.47
29022,29,Tlaxcala,022,Acuamanala de Miguel Hidalgo,14.58,4.36,49.96
29023,29,Tlaxcala,023,Natívitas,16.06,4.69,47.54
29024,29,Tlaxcala,024,Panotla,12.57,4.44,35.54
29025,29,Tlaxcala,025,San Pablo del Monte,21.95,9.85,58.6
29026,29,Tlaxcala,026,Santa Cruz Tlaxcala,13.28,3.95,43.39
29027,29,Tlaxcala,027,Tenancingo,24.26,9.83,43.07
29028,29,Tlaxcala,028,Teolocholco,15.46,5.73,49.97
29029,29,Tlaxcala,029,Tepeyanco,12.51,2.98,42.16
29030,29,Tlaxcala,030,Terrenate,27.86,10.8,57.86
29031,29,Tlaxcala,031,Tetla de la Solidaridad,15.2,5.22,38.61
29032,29,Tlaxcala,032,Tetlatlahuca,13.74,2.94,41.97
29033,29,Tlaxcala,033,Tlaxcala,6.57,1.84,24.74
29034,29,Tlaxcala,034,Tlaxco,23.44,8.78,50.68
29035,29,Tlaxcala,035,Tocatlán,16.38,4.66,44.57
29036,29,Tlaxcala,036,Totolac,9.73,2.69,33.53
29037,29,Tlaxcala,037,Ziltlaltépec de Trinidad Sánchez Santos,33.47,13.39,58.19
29038,29,Tlaxcala,038,Tzompantepec,11.67,3.84,39.06
29039,29,Tlaxcala,039,Xaloztoc,15.99,5.02,51.32
29040,29,Tlaxcala,040,Xaltocan,19.77,5.42,44.69
29041,29,Tlaxcala,041,Papalotla de Xicohténcatl,12.83,4.52,42.83
29042,29,Tlaxcala,042,Xicohtzinco,10.91,2.52,35.82
29043,29,Tlaxcala,043,Yauhquemehcan,10.07,3.2,32.31
29044,29,Tlaxcala,044,Zacatelco,13.18,3.73,42.44
29045,29,Tlaxcala,045,Benito Juárez,19,7.5,50.19
29046,29,Tlaxcala,046,Emiliano Zapata,26.38,9.59,62.11
29047,29,Tlaxcala,047,Lázaro Cárdenas,21.02,6.93,54.19
29048,29,Tlaxcala,048,La Magdalena Tlaltelulco,16.33,5.12,55.24
29049,29,Tlaxcala,049,San Damián Texóloc,18.49,3.32,33.03
29050,29,Tlaxcala,050,San Francisco Tetlanohcan,16.89,6.41,48.84
29051,29,Tlaxcala,051,San Jerónimo Zacualpan,12.86,4.63,31.72
29052,29,Tlaxcala,052,San José Teacalco,24.88,9.06,55.98
29053,29,Tlaxcala,053,San Juan Huactzinco,13.91,4,48.31
29054,29,Tlaxcala,054,San Lorenzo Axocomanitla,13.51,3.07,39.49
29055,29,Tlaxcala,055,San Lucas Tecopilco,19.31,7.66,36.64
29056,29,Tlaxcala,056,Santa Ana Nopalucan,14.86,4.78,45.61
29057,29,Tlaxcala,057,Santa Apolonia Teacalco,15.91,4.4,39.04
29058,29,Tlaxcala,058,Santa Catarina Ayometla,19.37,7.28,43.08
29059,29,Tlaxcala,059,Santa Cruz Quilehtla,17.05,4.74,47.99
29060,29,Tlaxcala,060,Santa Isabel Xiloxoxtla,14.95,4.56,49.33
