CVE,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,sin_primaria,analfabeta,con_hacinamiento
9002,09,Ciudad de México,002,Azcapotzalco,7.19,1.63,23.39
9003,09,Ciudad de México,003,Coyoacán,6.48,1.55,18
9004,09,Ciudad de México,004,Cuajimalpa de Morelos,9.64,2.37,29.51
9005,09,Ciudad de México,005,Gustavo A. Madero,9.15,2.17,27.79
9006,09,Ciudad de México,006,Iztacalco,8.19,1.79,25.31
9007,09,Ciudad de México,007,Iztapalapa,10.89,2.8,33.09
9008,09,Ciudad de México,008,La Magdalena Contreras,11.13,2.65,30.83
9009,09,Ciudad de México,009,Milpa Alta,12.7,4.06,42.98
9010,09,Ciudad de México,010,Álvaro Obregón,9.43,2.19,26.94
9011,09,Ciudad de México,011,Tláhuac,9.65,2.46,33.11
9012,09,Ciudad de México,012,Tlalpan,9.46,2.25,26.07
9013,09,Ciudad de México,013,Xochimilco,9.92,2.73,32.8
9014,09,Ciudad de México,014,Benito Juárez,3.06,0.56,8.19
9015,09,Ciudad de México,015,Cuauhtémoc,6.45,1.44,19.42
9016,09,Ciudad de México,016,Miguel Hidalgo,6.02,1.21,17.06
9017,09,Ciudad de México,017,Venustiano Carranza,7.41,1.58,26.63
