CVE,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,sin_primaria,analfabeta,con_hacinamiento
16001,16,Michoacán de Ocampo,001,Acuitzio,30.83,10.87,43.11
16002,16,Michoacán de Ocampo,002,Aguililla,46.84,19.08,42.44
16003,16,Michoacán de Ocampo,003,Álvaro Obregón,35.76,11.89,36.71
16004,16,Michoacán de Ocampo,004,Angamacutiro,40.35,12.18,33.14
16005,16,Michoacán de Ocampo,005,Angangueo,26.01,9.24,50.6
16006,16,Michoacán de Ocampo,006,Apatzingán,30.91,11.38,42.16
16007,16,Michoacán de Ocampo,007,Aporo,30.24,11.84,45.2
16008,16,Michoacán de Ocampo,008,Aquila,45.1,16.81,52.83
16009,16,Michoacán de Ocampo,009,Ario,34.11,12.39,43.49
16010,16,Michoacán de Ocampo,010,Arteaga,38.38,18.67,41.4
16011,16,Michoacán de Ocampo,011,Briseñas,32.19,9.36,38.25
16012,16,Michoacán de Ocampo,012,Buenavista,43.57,15.71,46.19
16013,16,Michoacán de Ocampo,013,Carácuaro,46.65,21.33,45.28
16014,16,Michoacán de Ocampo,014,Coahuayana,38.35,12.68,39.64
16015,16,Michoacán de Ocampo,015,Coalcomán de Vázquez Pallares,42.72,13.75,36.72
16016,16,Michoacán de Ocampo,016,Coeneo,43.46,13.88,29.46
16017,16,Michoacán de Ocampo,017,Contepec,37.6,13.96,47.31
16018,16,Michoacán de Ocampo,018,Copándaro,35.35,12.32,35.73
16019,16,Michoacán de Ocampo,019,Cotija,40.62,15.48,34.72
16020,16,Michoacán de Ocampo,020,Cuitzeo,37.93,13.43,40.74
16021,16,Michoacán de Ocampo,021,Charapan,44.38,23.15,52.13
16022,16,Michoacán de Ocampo,022,Charo,30.7,10.72,37.35
16023,16,Michoacán de Ocampo,023,Chavinda,44.86,13.67,31.89
16024,16,Michoacán de Ocampo,024,Cherán,31.53,14.22,40.77
16025,16,Michoacán de Ocampo,025,Chilchota,33.37,16.35,47.5
16026,16,Michoacán de Ocampo,026,Chinicuila,43.65,12.64,42.78
16027,16,Michoacán de Ocampo,027,Chucándiro,49.13,17.48,30.36
16028,16,Michoacán de Ocampo,028,Churintzio,38.52,8.48,25.81
16029,16,Michoacán de Ocampo,029,Churumuco,43.22,18.69,58.12
16030,16,Michoacán de Ocampo,030,Ecuandureo,46.5,13.93,24.57
16031,16,Michoacán de Ocampo,031,Epitacio Huerta,43.5,15.52,42
16032,16,Michoacán de Ocampo,032,Erongarícuaro,36.15,13,39.42
16033,16,Michoacán de Ocampo,033,Gabriel Zamora,36.88,14.16,43.34
16034,16,Michoacán de Ocampo,034,Hidalgo,33.27,10.41,44.55
16035,16,Michoacán de Ocampo,035,La Huacana,42.09,19.51,48.16
16036,16,Michoacán de Ocampo,036,Huandacareo,41.01,12.29,27.53
16037,16,Michoacán de Ocampo,037,Huaniqueo,48.11,14.51,28.06
16038,16,Michoacán de Ocampo,038,Huetamo,40.05,18.96,44.74
16039,16,Michoacán de Ocampo,039,Huiramba,31.65,10.27,47.44
16040,16,Michoacán de Ocampo,040,Indaparapeo,36.22,12.03,41.22
16041,16,Michoacán de Ocampo,041,Irimbo,35.65,10.79,44.76
16042,16,Michoacán de Ocampo,042,Ixtlán,45.31,14.19,33.81
16043,16,Michoacán de Ocampo,043,Jacona,33.59,11.11,38.13
16044,16,Michoacán de Ocampo,044,Jiménez,40.22,11.45,27.51
16045,16,Michoacán de Ocampo,045,Jiquilpan,28.28,9.51,28.68
16046,16,Michoacán de Ocampo,046,Juárez,36.7,15.57,42.7
16047,16,Michoacán de Ocampo,047,Jungapeo,34.05,13.61,48.53
16048,16,Michoacán de Ocampo,048,Lagunillas,38.58,11.65,37.56
16049,16,Michoacán de Ocampo,049,Madero,42.94,16.67,50.22
16050,16,Michoacán de Ocampo,050,Maravatío,34.17,11.92,42.21
16051,16,Michoacán de Ocampo,051,Marcos Castellanos,26.07,6.88,26.68
16052,16,Michoacán de Ocampo,052,Lázaro Cárdenas,20.11,7.15,37.51
16053,16,Michoacán de Ocampo,053,Morelia,14.58,4.22,24.03
16054,16,Michoacán de Ocampo,054,Morelos,42.52,11.32,32.4
16055,16,Michoacán de Ocampo,055,Múgica,34.13,13.99,46.28
16056,16,Michoacán de Ocampo,056,Nahuatzen,38.22,18.74,51.01
16057,16,Michoacán de Ocampo,057,Nocupétaro,45.07,20.26,48.34
16058,16,Michoacán de Ocampo,058,Nuevo Parangaricutiro,30.42,7.85,40.8
16059,16,Michoacán de Ocampo,059,Nuevo Urecho,41.88,14.14,40.07
