CVE,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,sin_primaria,analfabeta,con_hacinamiento
10001,10,Durango,001,Canatlán,22.43,3.5,27.95
10002,10,Durango,002,Canelas,42.91,13.95,44.93
10003,10,Durango,003,Coneto de Comonfort,32.45,4.86,37.55
10004,10,Durango,004,Cuencamé,24.76,4.11,37.57
10005,10,Durango,005,Durango,12.48,2.17,27.22
10006,10,Durango,006,General Simón Bolívar,36.29,6.36,40.23
10007,10,Durango,007,Gómez Palacio,13.14,2.43,31.65
10008,10,Durango,008,Guadalupe Victoria,22.22,3.33,26.96
10009,10,Durango,009,Guanaceví,41.36,11.11,41.99
10010,10,Durango,010,Hidalgo,27.48,4.1,27.49
10011,10,Durango,011,Indé,34.69,4.74,26.35
10012,10,Durango,012,Lerdo,16.06,3.09,35.72
10013,10,Durango,013,Mapimí,27.69,6.18,43.46
10014,10,Durango,014,Mezquital,49.46,28.65,67.06
10015,10,Durango,015,Nazas,29.62,5.57,35.43
10016,10,Durango,016,Nombre de Dios,27.56,4.37,33.01
10017,10,Durango,017,Ocampo,26.31,5.49,24.61
10018,10,Durango,018,El Oro,27.01,3.84,23.6
10019,10,Durango,019,Otáez,36.41,8.71,58
10020,10,Durango,020,Pánuco de Coronado,28.02,4.3,30.92
10021,10,Durango,021,Peñón Blanco,26.92,5.24,35.87
10022,10,Durango,022,Poanas,27.45,4.6,31.51
10023,10,Durango,023,Pueblo Nuevo,24.53,6.64,54.16
10024,10,Durango,024,Rodeo,25.29,4.02,36.37
10025,10,Durango,025,San Bernardo,39.25,6.68,23.19
10026,10,Durango,026,San Dimas,30.08,5.61,46.41
10027,10,Durango,027,San Juan de Guadalupe,37.5,8.14,37.35
10028,10,Durango,028,San Juan del Río,30.24,5.02,33.96
10029,10,Durango,029,San Luis del Cordero,32.51,6.05,33.09
10030,10,Durango,030,San Pedro del Gallo,31.62,4.22,27.65
10031,10,Durango,031,Santa Clara,30.98,4.4,35.09
10032,10,Durango,032,Santiago Papasquiaro,25.99,4.68,33.22
10033,10,Durango,033,Súchil,32.6,8.67,34.92
10034,10,Durango,034,Tamazula,36.11,10.85,59.38
10035,10,Durango,035,Tepehuanes,37.32,7.87,29.92
10036,10,Durango,036,Tlahualilo,24.94,4.9,35.03
10037,10,Durango,037,Topia,35.47,7.73,46.98
10038,10,Durango,038,Vicente Guerrero,21.58,3.83,30.19
10039,10,Durango,039,Nuevo Ideal,30.05,3.91,33.55
