CVE,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,sin_primaria,analfabeta,con_hacinamiento
17001,17,Morelos,001,Amacuzac,25.45,11.54,38.35
17002,17,Morelos,002,Atlatlahucan,20.98,6.75,37.72
17003,17,Morelos,003,Axochiapan,31.99,14.41,45.86
17004,17,Morelos,004,Ayala,25.56,10.44,40.26
17005,17,Morelos,005,Coatlán del Río,34.43,12.37,35.18
17006,17,Morelos,006,Cuautla,16.67,6.04,34.03
17007,17,Morelos,007,Cuernavaca,10.95,3.17,24.33
17008,17,Morelos,008,Emiliano Zapata,16.97,6.16,35.02
17009,17,Morelos,009,Huitzilac,15.23,4.12,42.56
17010,17,Morelos,010,Jantetelco,23.27,8.25,41.77
17011,17,Morelos,011,Jiutepec,12.67,4.14,28.63
17012,17,Morelos,012,Jojutla,18.27,6.73,31.62
17013,17,Morelos,013,Jonacatepec,23.86,8.5,42.28
17014,17,Morelos,014,Mazatepec,25.66,9.77,33.28
17015,17,Morelos,015,Miacatlán,30.35,12.82,42.99
17016,17,Morelos,016,Ocuituco,23.59,7.02,47.67
17017,17,Morelos,017,Puente de Ixtla,22.64,10.33,40.22
17018,17,Morelos,018,Temixco,21.02,7.69,38.66
17019,17,Morelos,019,Tepalcingo,29.56,12.36,40.66
17020,17,Morelos,020,Tepoztlán,14.65,5.1,34.68
17021,17,Morelos,021,Tetecala,25,9.83,36.72
17022,17,Morelos,022,Tetela del Volcán,25.79,8.1,47.17
17023,17,Morelos,023,Tlalnepantla,21.54,7.66,51.3
17024,17,Morelos,024,Tlaltizapán de Zapata,22.49,9.11,35.46
17025,17,Morelos,025,Tlaquiltenango,24.29,9.38,34.52
17026,17,Morelos,026,Tlayacapan,19.79,6.98,44.82
17027,17,Morelos,027,Totolapan,20.27,6.84,51.07
17028,17,Morelos,028,Xochitepec,20.8,7.32,40.23
17029,17,Morelos,029,Yautepec,18.21,6.54,37.42
17030,17,Morelos,030,Yecapixtla,21.99,7.42,48.7
17031,17,Morelos,031,Zacatepec,15.32,5.6,29.41
17032,17,Morelos,032,Zacualpan de Amilpas,21.56,5.72,39.14
17033,17,Morelos,033,Temoac,24.23,9,49.83
