CVE,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,sin_primaria,analfabeta,con_hacinamiento
26001,26,Sonora,001,Aconchi,23.43,4.03,34.52
26002,26,Sonora,002,Agua Prieta,12.8,2.05,34.13
26003,26,Sonora,003,Alamos,33.54,11.63,45.76
26004,26,Sonora,004,Altar,25.38,4.35,40.72
26005,26,Sonora,005,Arivechi,30.09,5.14,25.98
26006,26,Sonora,006,Arizpe,27.75,3.77,20.89
26007,26,Sonora,007,Atil,17.03,2.62,18.07
26008,26,Sonora,008,Bacadéhuachi,31.93,4.87,27.07
26009,26,Sonora,009,Bacanora,37.68,7.6,21.83
26010,26,Sonora,010,Bacerac,23.87,3.94,28.54
26011,26,Sonora,011,Bacoachi,24.23,3.94,20.89
26012,26,Sonora,012,Bácum,24.29,6.24,45.39
26013,26,Sonora,013,Banámichi,19.04,3.04,27.18
26014,26,Sonora,014,Baviácora,26.42,4.16,27.9
26015,26,Sonora,015,Bavispe,24.61,2.72,21.05
26016,26,Sonora,016,Benjamín Hill,18.29,3.97,27.84
26017,26,Sonora,017,Caborca,20.8,4.45,36.78
26018,26,Sonora,018,Cajeme,11.83,2.56,32.91
26019,26,Sonora,019,Cananea,8.6,1.29,23.18
26020,26,Sonora,020,Carbó,27.66,5.07,39.66
26021,26,Sonora,021,La Colorada,38.04,6.55,23.5
26022,26,Sonora,022,Cucurpe,35.93,4.64,19.28
26023,26,Sonora,023,Cumpas,17.93,2.17,21.72
26024,26,Sonora,024,Divisaderos,19.19,1.35,20.96
26025,26,Sonora,025,Empalme,14.69,3.3,38.33
26026,26,Sonora,026,Etchojoa,21.21,6.28,54.47
26027,26,Sonora,027,Fronteras,16.42,2.55,29.22
26028,26,Sonora,028,Granados,20.6,2.42,18.35
26029,26,Sonora,029,Guaymas,14.82,3.51,35.39
26030,26,Sonora,030,Hermosillo,10.8,2.11,31.27
26031,26,Sonora,031,Huachinera,30.58,3.37,26.65
26032,26,Sonora,032,Huásabas,21.05,3.8,18.88
26033,26,Sonora,033,Huatabampo,21.69,5.28,47.06
26034,26,Sonora,034,Huépac,21.82,2.78,23.17
26035,26,Sonora,035,Imuris,19.95,3.57,35.23
26036,26,Sonora,036,Magdalena,13.96,2.13,30.01
26037,26,Sonora,037,Mazatán,27.28,3.82,19.67
26038,26,Sonora,038,Moctezuma,16.57,2.05,20.98
26039,26,Sonora,039,Naco,13.61,1.47,27.97
26040,26,Sonora,040,Nácori Chico,36.06,4.62,26.22
26041,26,Sonora,041,Nacozari de García,11.99,1.94,30.2
26042,26,Sonora,042,Navojoa,16.32,4.21,43.8
26043,26,Sonora,043,Nogales,8.66,1.54,35.13
26044,26,Sonora,044,Onavas,42.52,4.67,32.11
26045,26,Sonora,045,Opodepe,29.05,3.9,29.75
26046,26,Sonora,046,Oquitoa,21.87,2.06,23.26
26047,26,Sonora,047,Pitiquito,21.03,3.71,31.83
26048,26,Sonora,048,Puerto Peñasco,14.48,2.7,34.62
26049,26,Sonora,049,Quiriego,41.52,15.83,42.42
26050,26,Sonora,050,Rayón,34.42,5.52,25.95
26051,26,Sonora,051,Rosario,38.06,10.89,41.25
26052,26,Sonora,052,Sahuaripa,28.47,4.66,30.51
26053,26,Sonora,053,San Felipe de Jesús,18.8,2.73,22.83
26054,26,Sonora,054,San Javier,24.47,2.55,37.06
26055,26,Sonora,055,San Luis Río Colorado,17.52,3.25,34.89
26056,26,Sonora,056,San Miguel de Horcasitas,38.64,11.63,58.84
26057,26,Sonora,057,San Pedro de la Cueva,33.76,4.79,17.12
26058,26,Sonora,058,Santa Ana,15.65,1.84,28.51
26059,26,Sonora,059,Santa Cruz,15.41,2.25,28.92
26060,26,Sonora,060,Sáric,26.33,4.95,32.57
26061,26,Sonora,061,Soyopa,36.29,7.09,25.3
26062,26,Sonora,062,Suaqui Grande,34.19,5.43,28.4
26063,26,Sonora,063,Tepache,31.21,3.13,21.05
26064,26,Sonora,064,Trincheras,29.92,4.65,33.89
26065,26,Sonora,065,Tubutama,30.07,4.45,27.31
26066,26,Sonora,066,Ures,22.43,4.17,28.35
26067,26,Sonora,067,Villa Hidalgo,25.24,3.21,18.91
26068,26,Sonora,068,Villa Pesqueira,25.42,2.41,18.8
26069,26,Sonora,069,Yécora,37.16,10.61,37.13
26070,26,Sonora,070,General Plutarco Elías Calles,20.22,3.54,40.24
26071,26,Sonora,071,Benito Juárez,22.24,5.6,48.28
26072,26,Sonora,072,San Ignacio Río Muerto,25.67,6.35,52.11
