CVE,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,sin_primaria,analfabeta,con_hacinamiento
25001,25,Sinaloa,001,Ahome,15.18,3.33,37.81
25002,25,Sinaloa,002,Angostura,27.01,5.12,39.06
25003,25,Sinaloa,003,Badiraguato,36.48,11.75,41.82
25004,25,Sinaloa,004,Concordia,26.76,7.66,45.61
25005,25,Sinaloa,005,Cosalá,35.34,12.33,47.76
25006,25,Sinaloa,006,Culiacán,15.6,3.76,35.15
25007,25,Sinaloa,007,Choix,43.22,14.27,48.31
25008,25,Sinaloa,008,Elota,30.23,8.87,47.25
25009,25,Sinaloa,009,Escuinapa,21.84,5.8,44.74
25010,25,Sinaloa,010,El Fuerte,27.54,7.47,46.57
25011,25,Sinaloa,011,Guasave,23.85,6.29,42.1
25012,25,Sinaloa,012,Mazatlán,12.92,2.67,32.76
25013,25,Sinaloa,013,Mocorito,36.92,10.26,40.44
25014,25,Sinaloa,014,Rosario,25.08,6.93,42.39
25015,25,Sinaloa,015,Salvador Alvarado,18.14,4.07,38
25016,25,Sinaloa,016,San Ignacio,33.18,9.06,43.41
25017,25,Sinaloa,017,Sinaloa,37.43,12.19,48.5
25018,25,Sinaloa,018,Navolato,28.57,7.64,46.8
