CVE,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,sin_primaria,analfabeta,con_hacinamiento
6001,06,Colima,001,Armería,33.57,10.54,40.29
6002,06,Colima,002,Colima,13.72,3.31,24.43
6003,06,Colima,003,Comala,23.16,5.34,38.73
6004,06,Colima,004,Coquimatlán,27.18,8.2,38.12
6005,06,Colima,005,Cuauhtémoc,20.94,5.31,29.87
6006,06,Colima,006,Ixtlahuacán,34.84,11.11,33.88
6007,06,Colima,007,Manzanillo,15.58,4.31,33.43
6008,06,Colima,008,Minatitlán,25.13,7.25,33.72
6009,06,Colima,009,Tecomán,31.15,9.98,41.96
6010,06,Colima,010,Villa de Álvarez,9.19,1.98,23.65
