CVE,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,sin_primaria,analfabeta,con_hacinamiento
23001,23,Quintana Roo,001,Cozumel,13.65,3.5,44.36
23002,23,Quintana Roo,002,Felipe Carrillo Puerto,28.72,14.1,62.85
23003,23,Quintana Roo,003,Isla Mujeres,18.8,4.1,48.09
23004,23,Quintana Roo,004,Othón P. Blanco,19.65,7.11,42.19
23005,23,Quintana Roo,005,Benito Juárez,12.21,2.83,39.16
23006,23,Quintana Roo,006,José María Morelos,31.43,13.71,63.39
23007,23,Quintana Roo,007,Lázaro Cárdenas,29.79,12.56,60.66
23008,23,Quintana Roo,008,Solidaridad,11.6,2.81,43.78
23009,23,Quintana Roo,009,Tulum,20.27,8.26,55.58
